trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.18400861029963,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.41739956586625,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.05919650557172,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,14,-22.80024358296206,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.83164032740058,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.4104555326984,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-217.7969028249852,"{0: 5, 1: 3, 2: 7, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.57155156061404,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
